,AR-SLu,AT-Neu,AU-ASM,AU-Ade,AU-Cpr,AU-Cum,AU-DaP,AU-DaS,AU-Dry,AU-Emr,AU-Fog,AU-GWW,AU-Gin,AU-How,AU-Lox,AU-RDF,AU-Rig,AU-Rob,AU-Stp,AU-TTE,AU-Tum,AU-Wac,AU-Whr,AU-Wom,AU-Ync,BE-Bra,BE-Lon,BE-Vie,BR-Sa3,CA-Gro,CA-Obs,CA-Qfo,CA-SF1,CA-SF2,CA-SF3,CA-TP1,CA-TP2,CA-TP3,CA-TP4,CA-TPD,CH-Cha,CH-Dav,CH-Fru,CN-Cng,CN-Du2,CN-Du3,CN-HaM,CZ-wet,DE-Geb,DE-Gri,DE-Hai,DE-Kli,DE-Lkb,DE-Lnf,DE-Obe,DE-RuR,DE-RuS,DE-Seh,DE-SfN,DE-Tha,DE-Zrk,DK-Eng,DK-Fou,DK-Sor,ES-Amo,ES-LJu,ES-LgS,FI-Hyy,FI-Jok,FI-Let,FI-Lom,FI-Sod,FR-Gri,FR-LBr,FR-Pue,GH-Ank,GL-ZaF,IT-BCi,IT-CA1,IT-CA2,IT-CA3,IT-Col,IT-Cp2,IT-Cpz,IT-Isp,IT-Lav,IT-MBo,IT-Noe,IT-PT1,IT-Ren,IT-Ro2,IT-SR2,IT-SRo,IT-Tor,MY-PSO,NL-Hor,NL-Loo,RU-Cok,RU-Fyo,RU-Ha1,RU-SkP,RU-Tks,RU-Vrk,SD-Dem,SJ-Adv,SN-Dhr,US-AR1,US-AR2,US-ARM,US-ARb,US-ARc,US-Atq,US-Blo,US-CRT,US-Cop,US-GBT,US-GLE,US-Goo,US-IB2,US-Ivo,US-KS1,US-KS2,US-LWW,US-Lin,US-Los,US-MMS,US-Me1,US-Me2,US-Me4,US-Me5,US-NR1,US-Ne1,US-Ne2,US-Ne3,US-Oho,US-Prr,
rmse_train,0.5735736,1.122747837,0.335409537,1.04280321,0.367661999,0.693399994,1.197408472,0.763407619,0.427701461,0.376887077,0.634947014,0.115742333,0.292278595,0.302872812,1.747197401,1.665561306,0.752738044,0.591207217,0.56235904,0.107311381,1.497085016,1.320111182,0.434197244,0.849408218,0.453110933,0.380026543,0.604229791,0.52530983,0.845630511,0.542120013,0.68158284,0.176439218,0.981755187,0.978268868,0.460604497,0.606256406,1.406383749,0.460740974,0.532561857,0.749733644,1.641651263,0.981830265,0.772755576,0.313913405,0.003184574,0.217925969,0.461271069,0.671351695,2.146592755,0.607611018,0.945730666,1.476848833,0.529331357,0.748773604,0.303011478,0.395030339,0.794331803,2.825981805,0.359480509,0.587855357,0.10678813,0.445217196,0.419367583,0.330007527,0.258272345,0.217423662,0.198326281,0.408403609,0.571091844,0.405817249,0.418333041,0.197858266,0.613759174,0.866800226,0.515459856,1.250079493,0.28958148,1.28660752,1.266332731,1.562768585,0.696151722,1.615002467,0.480915968,0.675988933,0.832621056,0.736164468,0.515561293,0.437125934,1.179366744,0.539989478,0.599401773,0.163989526,0.611178169,0.999466637,0.454982077,0.301468273,0.481543675,0.470265916,0.408083341,0.322979539,0.471446464,0.449614826,0.578961172,1.511960457,0.400440538,0.32439129,1.134805343,0.841971894,0.642281074,1.726494939,1.156315827,0.233381819,1.334676115,2.488335097,0.098900162,0.863747216,0.790914637,0.897895695,0.306120359,0.279100945,0.07948405,0.398797435,0.371131277,0.235236688,0.617836518,0.77392744,0.274322651,0.680280805,2.325461306,0.3962473,0.307322892,1.035866983,1.854737476,1.905116608,1.120112183,0.23055914,0.576267386
rmse_test,0.791792339,1.406777141,0.298014,1.45061127,0.5094825,0.863054217,1.313905711,0.880109206,0.555670916,0.395681156,0.718906652,0.112180429,0.363771571,0.379925324,2.142518994,1.97651196,0.987595953,0.393608987,0.709147504,0.136663702,1.649936302,1.70715209,0.401593478,1.158528968,0.669670135,0.478139684,0.660061907,0.723303862,0.731354487,0.463973019,0.910356895,0.216587328,1.30560899,0.84372088,0.43936996,0.672307865,1.992344753,0.581392255,0.600850721,1.016996184,1.454940635,1.066152888,0.900334911,0.396629552,0.005408819,0.347781358,0.614651457,0.490721759,1.967759813,0.734465988,0.828227473,1.50311223,0.517039635,1.013004378,0.390918699,0.458936247,1.090440183,2.539870712,0.520147889,0.480765225,0.153723382,0.457008762,0.51028882,0.375920635,0.224678228,0.238281475,0.225495009,0.438573812,0.740156677,0.495448528,0.662797325,0.208578194,0.795036307,0.853525318,0.419276958,1.582395062,0.363006673,1.636704433,1.700806411,1.834816143,1.057030134,1.122275398,0.641004149,0.815495545,0.902287947,0.760324983,0.667679411,0.569082107,1.394041236,0.740222348,0.766878732,0.143856173,0.792697573,0.863764899,0.523706281,0.390708909,0.515916827,0.633405888,0.431031496,0.490693089,0.335618331,0.582050925,0.599312046,1.233721378,0.483173679,0.350603373,1.153892564,0.438996516,0.743798452,1.859640188,1.447205144,0.249357482,1.047219297,3.152057477,0.091393271,1.044886344,0.708634571,0.988287465,0.25218497,0.340165207,0.1113846,0.449632762,0.358620934,0.348970397,0.957717066,0.807786973,0.377232008,0.794802955,3.181225024,0.441158837,0.290251412,1.398988744,2.296058577,2.149409852,1.175011084,0.316280679,0.668674773
corr_train,0.924580645,0.807415857,0.663891428,0.334287616,0.408316402,0.381840603,0.785146244,0.576495546,0.844294943,0.812141434,0.608394957,0.857018229,0.816256553,0.96660626,0.552266477,0.291885428,0.842375506,0.669147743,0.711200472,0.919051613,0.52345841,0.67146729,0.9193906,0.67016339,0.498610589,0.978682976,0.987150597,0.963992535,0.737252537,0.886501696,0.234167428,0.971481755,0.727298521,0.680798994,0.549792388,0.652081497,0.779088617,0.934004617,0.868663236,0.948052943,0.765927765,0.740544494,0.930411388,0.939502323,0.793670378,0.446219876,0.858989943,0.888944224,0.682684395,0.884403792,0.968749296,0.87653742,0.574361039,0.976910458,0.987333027,0.949735194,0.975889014,0.51200639,0.85538608,0.944121366,0.98503225,0.909885794,0.896102988,0.992510341,0.949729833,0.926162977,0.941448445,0.961232387,0.557311484,0.953780527,0.920145592,0.97005457,0.98570501,0.847521495,0.844950735,0.437538766,0.953990811,0.92941407,0.797404058,0.338632558,0.923353372,0.901400071,0.912048388,0.771990999,0.951419234,0.963165988,0.947823355,0.941892304,0.916812464,0.964741386,0.982820202,0.991051183,0.877959912,0.903903436,0.62455676,0.977788977,0.937220605,0.905539426,0.920737475,0.888580261,0.908273913,0.839716399,0.822826928,0.670891753,0.88561168,0.994508083,0.256425216,0.345336059,0.915465782,0.624215382,0.705539073,0.898412836,0.52879697,0.416163114,0.905088933,0.230495815,0.78086223,0.789498362,0.987797814,0.924797164,0.978599586,0.793764018,0.95087947,0.347318062,0.892117489,0.962608118,0.552893325,0.890641185,0.209169436,0.842050121,0.953892265,0.969563554,0.877671131,0.84995239,0.947542874,0.931606738,0.885007736
corr_test,0.90639783,0.799927023,0.17583763,0.591515594,0.464413033,0.660474197,0.732402598,0.641866667,0.776587085,0.867418992,0.484495671,0.914386913,0.904968967,0.945030572,0.910598702,-0.044905154,0.863802867,0.905423532,0.484437268,0.914147243,0.420297235,0.473595446,0.75985289,0.634248392,0.78542217,0.971362897,0.978447709,0.930699253,0.779236625,0.910379848,0.544152007,0.952774006,0.713901194,0.695825972,0.570348041,0.791044311,0.664326161,0.937702944,0.862085711,0.916046297,0.799504598,0.82468903,0.900840694,0.907367659,0.815132977,0.589489899,0.903636873,0.936984094,0.649477363,0.866999673,0.973167919,0.792401755,0.75664839,0.960806999,0.986617904,0.921958936,0.962103626,0.404205432,0.660184666,0.964713185,0.928694204,0.858978873,0.845103571,0.992225355,0.951647586,0.864932647,0.9474738,0.964474161,0.493458128,0.964148068,0.872215467,0.963242866,0.969334137,0.814330431,0.858222614,0.35907669,0.983906651,0.930392177,0.699752984,0.09406227,0.918886238,0.949420248,0.818393682,0.540810284,0.935756703,0.97140285,0.906081797,0.892022845,0.886627603,0.942440141,0.967727331,0.990951289,0.830781112,0.891159788,0.451101824,0.965262965,0.935240781,0.750763765,0.920929979,0.717688547,0.957391115,0.717237019,0.928619794,0.495199501,0.732932334,0.959897879,-0.355265257,-0.355044246,0.925145447,0.443423093,0.528092929,0.896573586,0.569934833,0.431243928,0.96385526,0.332151341,0.595723299,0.679870515,0.990857118,0.895807813,-1,0.753722943,0.934535123,0.326730823,0.877909762,0.958833349,0.200788397,0.8979009,-0.003637267,0.886638329,0.962272294,0.948114328,0.842837115,0.823062013,0.940609243,0.901330988,0.86596616
