,AR-SLu,AT-Neu,AU-ASM,AU-Ade,AU-Cpr,AU-Cum,AU-DaP,AU-DaS,AU-Dry,AU-Emr,AU-Fog,AU-GWW,AU-Gin,AU-How,AU-Lox,AU-RDF,AU-Rig,AU-Rob,AU-Stp,AU-TTE,AU-Tum,AU-Wac,AU-Whr,AU-Wom,AU-Ync,BE-Bra,BE-Lon,BE-Vie,BR-Sa3,CA-Gro,CA-Obs,CA-Qfo,CA-SF1,CA-SF2,CA-SF3,CA-TP1,CA-TP2,CA-TP3,CA-TP4,CA-TPD,CH-Cha,CH-Dav,CH-Fru,CN-Cng,CN-Du2,CN-Du3,CN-HaM,CZ-wet,DE-Geb,DE-Gri,DE-Hai,DE-Kli,DE-Lkb,DE-Lnf,DE-Obe,DE-RuR,DE-RuS,DE-Seh,DE-SfN,DE-Tha,DE-Zrk,DK-Eng,DK-Fou,DK-Sor,ES-Amo,ES-LJu,ES-LgS,FI-Hyy,FI-Jok,FI-Let,FI-Lom,FI-Sod,FR-Gri,FR-LBr,FR-Pue,GH-Ank,GL-ZaF,IT-BCi,IT-CA1,IT-CA2,IT-CA3,IT-Col,IT-Cp2,IT-Cpz,IT-Isp,IT-Lav,IT-MBo,IT-Noe,IT-PT1,IT-Ren,IT-Ro2,IT-SR2,IT-SRo,IT-Tor,MY-PSO,NL-Hor,NL-Loo,RU-Cok,RU-Fyo,RU-Ha1,RU-SkP,RU-Tks,RU-Vrk,SD-Dem,SJ-Adv,SN-Dhr,US-AR1,US-AR2,US-ARM,US-ARb,US-ARc,US-Atq,US-Blo,US-CRT,US-Cop,US-GBT,US-GLE,US-Goo,US-IB2,US-Ivo,US-KS1,US-KS2,US-LWW,US-Lin,US-Los,US-MMS,US-Me1,US-Me2,US-Me4,US-Me5,US-NR1,US-Ne1,US-Ne2,US-Ne3,US-Oho,US-Prr,
rmse_train,0.517701387,0.94270447,0.359153645,0.725683125,0.365551098,0.695210306,0.872654672,0.734943514,0.667023185,0.509631673,0.407937046,0.091832635,0.3280721,0.655221672,1.719268101,1.674295212,0.735675425,0.716908681,0.422688091,0.218050085,1.497542559,1.467708864,0.167523473,0.835608552,0.462914531,1.218251445,1.303934639,0.442224282,0.698791054,0.539461561,0.692486186,0.22516397,1.173401082,0.953892499,0.468874255,0.607956115,1.342027828,0.673176614,0.597395411,0.718706724,2.284826027,0.947922015,0.6096432,0.415736761,0.002956062,0.236666612,0.450417017,0.69722597,1.170927995,0.711924352,0.981945569,1.393526385,0.503608294,1.184594712,0.241022875,0.47465384,2.56606361,2.847365533,0.365619393,0.476477468,0.233909869,0.41656198,0.386152487,0.537012085,0.145436628,0.173483634,0.361086158,0.250177093,0.537313962,0.155693613,0.39558182,0.261232049,1.517135366,0.914751804,0.592313916,0.874955359,0.52878438,2.475584374,1.630958903,1.564927664,0.834405584,0.926736228,0.65739829,0.44759585,0.918090483,0.696171675,0.538712191,0.492704482,1.213317092,0.616247565,0.405959598,0.714163485,0.590613132,0.567090652,0.211152438,0.240713054,0.556749474,0.655789567,0.168484629,0.331411879,0.543387282,0.499166032,0.037296426,1.667488312,0.087116162,2.841177488,1.124202605,0.587659025,0.906879288,0.546154603,1.084483824,0.265990392,1.222633596,2.419304793,0.127628044,0.862490112,0.602772353,1.275990068,0.856929288,0.277043429,0.190709874,0.495100728,0.443092338,0.234086966,0.615066452,0.41689247,0.287889271,0.872096165,2.333184298,0.509292027,0.268240198,0.819189487,2.324759775,1.793652785,0.623409662,0.233839935,0.600083882
rmse_test,0.748885561,1.142545521,0.244473448,0.947098056,0.490280501,0.848495008,0.797419759,0.897540304,0.827145721,0.605365702,0.535488461,0.129941691,0.433716793,0.658069245,2.349653121,1.61592063,0.92847468,0.65319822,0.618068342,0.339099785,1.663686368,1.58971237,0.222135521,1.136503151,0.712784412,1.073062826,1.505240172,0.612256486,0.739198243,0.474908297,0.82486752,0.259661681,1.489133154,0.780029473,0.451625292,0.676622764,1.859943239,0.772011653,0.635814692,0.957193097,2.312889249,1.071723446,0.787986808,0.413456727,0.004838411,0.363381558,0.546568778,0.515571351,1.421202808,0.781807756,0.883512653,1.425783498,0.495536205,1.221942118,0.311982299,0.550582951,3.085176418,2.60223898,0.523845443,0.474465245,0.284398084,0.407864286,0.50586643,0.508848502,0.152101269,0.202857057,0.382714766,0.326333223,0.689126736,0.213315179,0.60366943,0.22008891,1.806828323,0.833320935,0.518761292,1.051454432,0.704372493,3.207487535,1.996584404,1.577705013,1.178580732,0.852590087,0.809967437,0.640881727,1.202528965,0.823911177,0.672623721,0.654905176,1.49395514,0.819570161,0.470346924,0.941768566,0.777715842,0.522193029,0.317134186,0.217796621,0.562409912,0.726817981,0.233256658,0.494624017,0.424568687,0.620809402,0.064599035,1.313808891,0.105995087,1.669239841,1.112541828,0.669230557,1.16697987,0.729261088,1.224562189,0.289222344,0.908591014,3.08801153,0.130255435,1.060029029,0.621344469,1.420562897,0.831764138,0.334152339,0.269669047,0.520087225,0.543265999,0.345329134,0.955671239,0.462630774,0.386535927,1.07775624,3.239907967,0.644496699,0.27356385,1.078738397,2.851236282,1.968717501,0.669480156,0.329961872,0.68287475
corr_train,0.937656155,0.868347955,0.585486624,0.751293144,0.420969131,0.373936181,0.88691235,0.618422748,0.543987243,0.613180167,0.858509227,0.911276411,0.76282794,0.82470529,0.58424881,0.249583969,0.849680605,0.450468598,0.849680205,0.600173231,0.52339362,0.549852486,0.988532619,0.685684629,0.463421448,0.753732564,0.936717929,0.974439645,0.828403894,0.887725139,-0.023943244,0.954866842,0.566835857,0.693119844,0.53199187,0.649775076,0.802309306,0.844986171,0.827864075,0.95112515,0.449859407,0.761469826,0.957883858,0.88975434,0.764397926,0.215009637,0.864026808,0.877736346,0.915568816,0.839080481,0.964626251,0.889691334,0.632834705,0.943123545,0.992173267,0.926567472,0.708293387,0.48073269,0.846952701,0.962890689,0.922303916,0.922692689,0.907132765,0.980720687,0.986802271,0.957985037,0.78968923,0.985317778,0.607420426,0.993412123,0.916597561,0.946563108,0.90673673,0.829767658,0.78735174,0.773935524,0.834097542,0.697972635,0.653396152,0.30835304,0.891791011,0.969023211,0.810867446,0.907326249,0.942115034,0.967483771,0.947545109,0.92508346,0.907915702,0.957700561,0.992414173,0.742966787,0.892922211,0.970296322,0.932077537,0.988016721,0.916544088,0.803828008,0.987262051,0.883051909,0.877936059,0.798222495,0.999357349,0.566262184,0.994978243,0.398992257,0.282809125,0.742644999,0.821327444,0.971134147,0.75695319,0.865720995,0.630892647,0.453568926,0.836948454,0.23647904,0.876436985,0.528072608,0.901276109,0.925050774,0.91779662,0.649772364,0.928117792,0.362444776,0.893443151,0.990083993,0.493977546,0.810237888,0.176706634,0.719976357,0.966596037,0.980533426,0.868042331,0.866155744,0.983084905,0.929929834,0.854094916
corr_test,0.905874638,0.889901006,0.481870163,0.803893221,0.497949201,0.661255497,0.901665727,0.60519204,0.397615426,0.684263469,0.724464833,0.883103248,0.839545928,0.823870904,0.905224171,0.107688622,0.889980912,0.862725792,0.639315489,0.229740482,0.403099195,0.418248126,0.932818906,0.652302156,0.707723398,0.916305431,0.877262258,0.949889456,0.75584572,0.906314032,-0.640384297,0.917794013,0.612744523,0.718259493,0.560347564,0.795123075,0.72197829,0.900724907,0.823323584,0.924214443,0.268729873,0.852274393,0.924402857,0.887138532,0.819666404,0.591351637,0.934982666,0.933439099,0.837849794,0.852892739,0.971798109,0.812541496,0.778069501,0.942275161,0.989337777,0.876666884,0.597472245,0.41377199,0.659897056,0.964238996,0.789083213,0.893753989,0.891852515,0.983993857,0.977754937,0.906048113,0.860913252,0.979211038,0.503723816,0.992387978,0.864866091,0.95867658,0.833150366,0.819557115,0.773991258,0.757881142,0.92716634,0.692379184,0.582505083,0.045197348,0.894022594,0.969313621,0.761273531,0.753571625,0.890134543,0.970826366,0.90330475,0.867870643,0.889797778,0.936649914,0.987836748,0.708158933,0.866690217,0.966259659,0.837525502,0.989832375,0.918465141,0.685745066,0.976805139,0.709041613,0.925676015,0.679778764,0.998679926,0.432484723,0.989357422,0.358149327,-0.315452311,0.004788626,0.759737849,0.848339522,0.603286219,0.841260729,0.683992908,0.561942838,0.937636444,0.33270595,0.684480548,0.360589703,0.891376534,0.898891844,-1,0.636731824,0.905329854,0.363512525,0.879004314,0.987083183,0.035030177,0.795361782,-0.047649256,0.70429913,0.970221374,0.969952403,0.82797962,0.856505484,0.980389712,0.89173361,0.838697861
